formula,composition,e0025,e05,e10,band0,band1,spacegroup,mattersim_energy_per_atom,mattersim_e_hull,vasp_energy_per_atom,dft_e_hull,N_excess,band_gap,electride,full_dft_e_hull
Li5N1_s001,Li5N1,88.14322737538093,85.33331274469826,77.98751372910944,74.91982981178828,0.0,87,-3.191584269205729,0.049514134724935,-3.220806638333333,0.0037399155555557,2.0,0.0,True,0.007555838611111199
Y8N7_s015,Y8N7,0.0,28.12894735438322,28.507888719013003,26.78338401705193,28.077970768457096,65,-8.901616414388021,0.0094704310099267,-8.939127335,-0.0255875867777799,3.0,0.0,True,0.009992024888889617
Y8P7_s012,Y8P7,0.0,29.608557869645807,23.755857688499702,0.0,31.40595371318628,225,-7.518631998697916,-0.0299835840861,-7.491163771833333,0.001070071722224,3.0,0.0,True,0.010620904500000528
Y8N7_s001,Y8N7,0.0,24.68005231157855,23.528626308842817,0.0,21.5655841612381,47,-8.894119262695312,0.0169675827026356,-8.936776502666667,-0.0232367544444471,3.0,0.0,True,0.012342857222222392
Li4N1_s028,Li4N1,0.0,7.19919918896027,33.48924179205076,10.3669354532959,26.42288011488956,156,-3.478102111816406,0.0301567077636724,-3.4796810093333335,0.0079902820000001,1.0,0.0,True,0.012569389666666098
Y4N3_s001,Y4N3,0.0,35.557897694984646,35.08457797316639,26.6268079324391,24.58563032135408,166,-8.700158255440849,0.0097608566284179,-8.73321393904762,-0.0194348957142871,3.0,0.0,True,0.013240257857141557
Y7P6_s020,Y7P6,0.0,25.254147953826852,20.477886936392206,0.0,22.50836535271146,71,-7.481133094200721,-0.00393375983605,-7.475538876923077,0.0054228487179495,3.0,0.0,True,0.014868727289377048
Li4N1_s019,Li4N1,78.88292184072138,0.0,0.0,71.20561830040998,0.0,166,-3.472936248779297,0.0353225708007816,-3.476790997333333,0.0108802940000005,1.0,0.0,True,0.015459401666666484
Li4N1_s021,Li4N1,60.85930045540139,18.012904883907225,15.760720064964785,52.73327903266821,0.0,194,-3.4670490264892577,0.0412097930908208,-3.476772094,0.0108991973333338,1.0,0.0,True,0.01547830499999936
Y7N6_s006,Y7N6,3.253638737131469,23.99566948130838,24.03416728181837,0.0,21.583044883676205,71,-8.86563697228065,0.0183696013230552,-8.905830234615385,-0.0191813505128219,3.0,0.0,True,0.016007276410256566
Y6P5_s020,Y6P5,0.0,26.467384744938503,19.33841412081312,0.0,21.85494489169407,47,-7.465068470348012,-0.003481518138539,-7.458566896363636,0.0070237593939399,3.0,0.0,True,0.016326518593073658
